modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
CELTA,CHEVROLET,34500.0,,manual,flex,Marrom,2014,True,JLA Corretora,https://carango.com.br/veiculo/chevrolet-celta-2014-1-0-mpfi-lt-8v-flex-4p-manual-flex-115593,CHEVROLET CELTA 2014 1.0 MPFI LT 8V FLEX 4P MANUAL - Carango 115593
COMPASS,JEEP,A Combinar,22523,automatico,diesel,branco,2021,False,Scuderia Veículos e Pick-ups,https://carango.com.br/veiculo/jeep-compass-2021-compass-trailhawk-2-0-4x4-dies--16v-aut--diesel-115591,JEEP COMPASS 2021 COMPASS TRAILHAWK 2.0 4x4 Dies. 16V Aut. - Carango 115591
NEW,FORD,42000.0,,automatico,flex,Branco,2014,True,JLA Corretora,https://carango.com.br/veiculo/ford-new-fiesta-2014-1-6-se-hatch-4p-flex-aut-flex-115590,FORD NEW FIESTA 2014 1.6 SE  HATCH 4P FLEX AUT. - Carango 115590
ECOSPORT,FORD,52000.0,,manual,flex,Preto,2014,True,JLA Corretora,https://carango.com.br/veiculo/ford-ecosport-2014-1-6-freestyle-16v-flex-4p-manual-flex-115589,FORD ECOSPORT 2014 1.6 FREESTYLE 16V FLEX 4P MANUAL - Carango 115589
SPORTAGE,KIA,83000.0,,automatico,flex,Branco,2015,True,JLA Corretora,https://carango.com.br/veiculo/kia-sportage-2015-2-0-lx-4x2-16v-flex-4p-automatico-flex-115588,KIA SPORTAGE 2015 2.0 LX 4X2 16V FLEX 4P AUTOMÁTICO - Carango 115588
GOL,VOLKSWAGEN,A Combinar,,manual,flex,Branco,2019,True,Capela Revcar,https://carango.com.br/veiculo/volkswagen-gol-2019-1-0-mi-8v-total-flex-4p-manual-flex-115586,VOLKSWAGEN GOL 2019 1.0 MI 8V TOTAL FLEX 4P MANUAL - Carango 115586
PALIO,FIAT,A Combinar,,manual,flex,Preto,2015,True,Capela Revcar,https://carango.com.br/veiculo/fiat-palio-2015-1-0-mpi-attractive-8v-flex-4p-manual-flex-115585,FIAT PALIO 2015 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL - Carango 115585
CRUZE,CHEVROLET,125990.0,26578,automatico,flex,Prata,2022,False,Autoforte Veículos Ltda,https://carango.com.br/veiculo/chevrolet-cruze-2022-1-4-turbo-ltz-16v-flex-4p-automatico-gasolina-e-alcool-115584,CHEVROLET CRUZE 2022 1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO - Carango 115584
CHERY,CAOA,159990.0,30474,automatico,gasolina,Preto,2022,False,Autoforte Veículos Ltda,https://carango.com.br/veiculo/caoa-chery-tiggo-8-2022-1-6-tgdi-gasolina-txs-dct-gasolina-115583,CAOA CHERY TIGGO 8 2022 1.6 TGDI GASOLINA TXS DCT - Carango 115583
HILUX,TOYOTA,234990.0,65105,automatico,diesel,Prata,2017,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-hilux-sw4-2017-2-8-srx-4x4-7-lugares-16v-turbo-intercooler-diesel-4p-automatico-diesel-115582,TOYOTA HILUX SW4 2017 2.8 SRX 4X4 7 LUGARES 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO - Carango 115582
YARIS,TOYOTA,98990.0,28079,,flex,Azul,2022,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-yaris-2022-1-5-16v-flex-sedan-xls-connect-multidrive-flex-115581,TOYOTA YARIS 2022 1.5 16V FLEX SEDAN XLS CONNECT MULTIDRIVE - Carango 115581
