modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor
CRUZE,CHEVROLET,125990.0,26578.0,automatico,flex,Prata,2022,False,Autoforte Veículos Ltda
CHERY,CAOA,159990.0,30474.0,automatico,gasolina,Preto,2022,False,Autoforte Veículos Ltda
YARIS,TOYOTA,98990.0,28079.0,,flex,Azul,2022,False,Toyolex Seminovos - Aracaju
ETIOS,TOYOTA,62990.0,67795.0,automatico,flex,Cinza,2019,False,Toyolex Seminovos - Aracaju
CRETA,HYUNDAI,98990.0,37931.0,automatico,flex,Preto,2019,False,Toyolex Seminovos - Aracaju
COMPASS,JEEP,149990.0,29901.0,automatico,flex,Verde,2022,False,Toyolex Seminovos - Aracaju
HB20S,HYUNDAI,74990.0,15901.0,manual,flex,Prata,2021,False,Toyolex Seminovos - Aracaju
FOX,VOLKSWAGEN,51990.0,65901.0,manual,flex,Branco,2017,False,Toyolex Seminovos - Aracaju
TORO,FIAT,177990.0,16700.0,automatico,diesel,Prata,2022,True,Auto Flex
RANGER,FORD,135000.0,80000.0,automatico,diesel,Branco,2017,True,Auto Flex
COMPASS,JEEP,118000.0,73511.0,automatico,flex,Cinza,2018,True,ROGÉRIO AUTOMÓVEIS
SAVEIRO,VOLKSWAGEN,78000.0,24216.0,manual,flex,Branco,2020,True,ROGÉRIO AUTOMÓVEIS
COROLLA,TOYOTA,134990.0,12203.0,automatico,flex,Preto,2022,False,Toyolex Seminovos - Aracaju
GOLF,VOLKSWAGEN,83445.0,138910.0,automatico,gasolina,Branco,2015,False,Toyolex Seminovos - Aracaju
PALIO,FIAT,46000.0,20415.0,manual,flex,Prata,2016,True,RAFA VEÍCULOS
GOLF,VOLKSWAGEN,85000.0,107840.0,automatico,flex,Prata,2014,True,RAFA VEÍCULOS
SANDERO,RENAULT,35000.0,92542.0,,flex,Vermelho,2013,True,RAFA VEÍCULOS
TUCSON,HYUNDAI,45000.0,85637.0,automatico,flex,Prata,2013,True,RAFA VEÍCULOS
COROLLA,TOYOTA,120000.0,75000.0,automatico,flex,Branco,2021,True,Gilsimar ferreira de miranda
TIGGO,CHERY,177000.0,11552.0,automatico,flex,Branco,2023,True,GUIMA VEICULOS - CHERY
SANDERO,RENAULT,42000.0,96478.0,automatico,flex,Vermelho,2015,True,NETTO VEICULOS
SANDERO,RENAULT,68990.0,42238.0,automatico,flex,2020,2020,True,Grupo R1 Autos 
MOBI,FIAT,43000.0,73913.0,,flex,Vermelho,2018,True,NETTO VEICULOS
SANDERO,RENAULT,65990.0,34000.0,manual,flex,Prata,2021,True,Grupo R1 Autos 
TRACKER,CHEVROLET,97000.0,88117.0,automatico,flex,Prata,2021,True,MARVEL VEÍCULOS SEMINOVOS
SANDERO,RENAULT,39990.0,85269.0,manual,flex,Branco,2014,False,TOPCAR Veículos
PUNTO,FIAT,47900.0,80615.0,manual,flex,Branco,2016,True,CAMESA AUTOMÓVEIS
STRADA,FIAT,84000.0,55380.0,manual,flex,Branco,2021,False,Isaias Automóveis - Aracaju
SAVEIRO,VOLKSWAGEN,89990.0,47000.0,manual,flex,Branco,2022,True,Podium Automóveis 
ONIX,CHEVROLET,83000.0,47000.0,automatico,flex,Preto,2020,True,Erivan José de Almeida Júnior 
PALIO,FIAT,44800.0,82446.0,manual,flex,Branco,2017,False,Isaias Automóveis - Aracaju
SPIN,CHEVROLET,91000.0,29792.0,automatico,flex,Prata,2021,True,PRIMECAR AUTOMÓVEIS
RENEGADE,JEEP,130000.0,14902.0,automatico,flex,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP
TORO,FIAT,113000.0,20392.0,automatico,flex,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP
TORO,FIAT,155000.0,41329.0,automatico,diesel,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP
SANDERO,RENAULT,64990.0,35656.0,manual,flex,Branco,2022,False,XCAR PLUS VEÍCULOS
SPIN,CHEVROLET,99990.0,31000.0,automatico,flex,Branco,2022,False,Grupo R1 Autos 
